endpoint,source_index,case,layout_index,wind_direction_deg,classic_volume_rmse_mps,dense_volume_rmse_mps,dense_minus_classic_volume_rmse_mps
best_validation,128,gen_0042_wd300,42,300.0,0.05023210868239403,0.012653836980462074,-0.03757827170193195
best_validation,129,gen_0043_wd270,43,270.0,0.016941897571086884,0.010464114136993885,-0.0064777834340929985
best_validation,130,gen_0043_wd285,43,285.0,0.014466606080532074,0.008540495298802853,-0.005926110781729221
best_validation,131,gen_0043_wd300,43,300.0,0.01748824492096901,0.009825988672673702,-0.007662256248295307
best_validation,159,gen_0053_wd270,53,270.0,0.01643925905227661,0.010584688745439053,-0.005854570306837559
best_validation,160,gen_0053_wd285,53,285.0,0.013230797834694386,0.009629099629819393,-0.0036016982048749924
best_validation,161,gen_0053_wd300,53,300.0,0.015955770388245583,0.009569080546498299,-0.006386689841747284
best_validation,171,gen_0057_wd270,57,270.0,0.02292133867740631,0.011569079011678696,-0.011352259665727615
best_validation,172,gen_0057_wd285,57,285.0,0.01712711900472641,0.01089303195476532,-0.00623408704996109
best_validation,173,gen_0057_wd300,57,300.0,0.016765454784035683,0.010012216866016388,-0.006753237918019295
best_validation,180,gen_0060_wd270,60,270.0,0.01325962133705616,0.009082495234906673,-0.0041771261021494865
best_validation,181,gen_0060_wd285,60,285.0,0.013169250451028347,0.008683674968779087,-0.00448557548224926
best_validation,182,gen_0060_wd300,60,300.0,0.01577778346836567,0.009656096808612347,-0.006121686659753323
best_validation,183,gen_0061_wd270,61,270.0,0.022227495908737183,0.011595438234508038,-0.010632057674229145
best_validation,184,gen_0061_wd285,61,285.0,0.014691709540784359,0.009930189698934555,-0.004761519841849804
best_validation,185,gen_0061_wd300,61,300.0,0.0162665992975235,0.0105161527171731,-0.005750446580350399
best_validation,207,gen_0069_wd270,69,270.0,0.013793433085083961,0.009198864921927452,-0.004594568163156509
best_validation,208,gen_0069_wd285,69,285.0,0.015413233079016209,0.010488532483577728,-0.00492470059543848
best_validation,209,gen_0069_wd300,69,300.0,0.016785720363259315,0.00981071125715971,-0.0069750091060996056
best_validation,228,gen_0076_wd270,76,270.0,0.020363444462418556,0.010448439978063107,-0.00991500448435545
best_validation,229,gen_0076_wd285,76,285.0,0.021010546013712883,0.010835304856300354,-0.010175241157412529
best_validation,230,gen_0076_wd300,76,300.0,0.02010703645646572,0.011172030121088028,-0.008935006335377693
best_validation,315,gen_0105_wd270,105,270.0,0.017073526978492737,0.012016179040074348,-0.005057347938418388
best_validation,316,gen_0105_wd285,105,285.0,0.015440156683325768,0.012366794049739838,-0.00307336263358593
best_validation,317,gen_0105_wd300,105,300.0,0.018017254769802094,0.01270825881510973,-0.005308995954692364
best_validation,327,gen_0109_wd270,109,270.0,0.016623452305793762,0.01045046467334032,-0.006172987632453442
best_validation,328,gen_0109_wd285,109,285.0,0.013291352428495884,0.0114184794947505,-0.0018728729337453842
best_validation,329,gen_0109_wd300,109,300.0,0.014362278394401073,0.00970093347132206,-0.004661344923079014
best_validation,366,gen_0122_wd270,122,270.0,0.02000761777162552,0.010139381512999535,-0.009868236258625984
best_validation,367,gen_0122_wd285,122,285.0,0.021695062518119812,0.010425944812595844,-0.011269117705523968
best_validation,368,gen_0122_wd300,122,300.0,0.024669351056218147,0.011989525519311428,-0.01267982553690672
best_validation,387,gen_0129_wd270,129,270.0,0.02186364307999611,0.013549704104661942,-0.008313938975334167
best_validation,388,gen_0129_wd285,129,285.0,0.02244359441101551,0.011188339442014694,-0.011255254969000816
best_validation,389,gen_0129_wd300,129,300.0,0.01856422983109951,0.011943850666284561,-0.006620379164814949
best_validation,411,gen_0137_wd270,137,270.0,0.018639612942934036,0.010955845937132835,-0.007683767005801201
best_validation,412,gen_0137_wd285,137,285.0,0.01582539826631546,0.011792623437941074,-0.004032774828374386
best_validation,413,gen_0137_wd300,137,300.0,0.015227038413286209,0.010614822618663311,-0.004612215794622898
